,train_loss,val_loss,train_acc,val_acc
0,3.5412,3.4955,70.1275,78.7947
1,2.4938,2.5389,79.0058,79.6786
2,2.4672,2.4753,79.7834,79.4615
3,1.8162,1.8835,79.7627,80.4094
4,1.0493,1.3908,81.876,93.0145
5,1.0619,1.2871,93.0595,93.2494
6,0.6917,0.6778,94.3891,94.799
7,0.4288,0.4798,95.0784,95.8341
8,0.4917,0.4611,95.7574,95.6639
9,0.341,0.3463,95.9349,96.0782
10,0.2846,0.2971,95.9712,95.9179
11,0.2865,0.2975,95.9083,95.5216
12,0.2315,0.2419,96.2695,96.1625
13,0.2041,0.1978,96.2949,96.2939
14,0.1659,0.211,96.3278,96.2784
15,0.1588,0.1835,96.6,96.3004
16,0.1749,0.1769,96.4912,96.2057
17,0.1509,0.173,96.2703,96.3029
18,0.1188,0.1743,96.7296,96.2833
19,0.1602,0.1456,96.4776,96.4374
20,0.1296,0.1535,96.5166,96.4266
21,0.096,0.1367,96.9281,96.4967
22,0.1141,0.1378,96.7188,96.5086
23,0.1088,0.135,96.6155,96.5025
24,0.1154,0.1273,97.0361,96.5744
25,0.0976,0.1247,96.8481,96.5792
26,0.0901,0.1244,96.6396,96.5512
27,0.1087,0.1219,97.1002,96.6137
28,0.1052,0.1204,96.9402,96.4798
29,0.1051,0.1184,96.5945,96.6713
30,0.1173,0.1165,96.3606,96.6008
31,0.1097,0.1118,96.6009,96.5549
32,0.1316,0.1133,96.4981,96.545
33,0.0861,0.1061,96.8182,96.7437
34,0.0796,0.1057,96.821,96.7424
35,0.0967,0.1042,96.7316,96.7755
36,0.1406,0.1038,97.0356,96.7537
37,0.0788,0.0996,96.8917,96.7968
38,0.1024,0.0995,96.829,96.8552
39,0.0672,0.0986,97.1529,96.8401
40,0.1006,0.0969,97.0352,96.8492
41,0.0926,0.0956,96.9068,96.8775
42,0.0868,0.096,97.3009,96.885
43,0.0679,0.0969,97.1424,96.8336
44,0.083,0.0952,96.8996,96.9161
45,0.083,0.0987,97.4083,96.8194
46,0.0691,0.0961,97.1432,96.7923
47,0.0677,0.0983,96.9175,96.8772
48,0.0681,0.0943,97.545,96.8929
49,0.0661,0.0908,97.2685,96.9485
50,0.079,0.0916,97.0431,96.9405
51,0.0636,0.0952,97.589,96.8645
52,0.0553,0.0941,97.3028,96.8637
53,0.0604,0.0949,96.9652,96.8949
54,0.0699,0.0917,97.5751,96.9014
55,0.0576,0.0908,97.3649,96.9992
